[2025-06-26 09:17:02] 📊 CPU: 6.9% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.17 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20806168.0 KB ↓ 467896.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:16:50] 📊 CPU: 5.8% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.16 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20803400.0 KB ↓ 467872.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:16:38] 📊 CPU: 4.2% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.33 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20801976.0 KB ↓ 467872.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:16:26] 📊 CPU: 3.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20800808.0 KB ↓ 467424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:16:14] 📊 CPU: 3.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20800136.0 KB ↓ 467424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:16:02] 📊 CPU: 3.9% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20800024.0 KB ↓ 467424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:15:50] 📊 CPU: 3.8% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.05 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20799840.0 KB ↓ 467424.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:15:38] 📊 CPU: 2.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.18 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20798884.0 KB ↓ 467420.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:15:26] 📊 CPU: 3.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20798252.0 KB ↓ 467412.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:15:14] 📊 CPU: 3.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20798120.0 KB ↓ 467412.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:15:02] 📊 CPU: 2.7% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.05 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20797224.0 KB ↓ 467408.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
